IP,MAC,First Seen,Last Seen,Total Traffic (bytes),Top DNS Queries
172.16.3.0,8c:94:1f:51:4b:56,2024-07-17 13:48:52.300404,2024-07-17 14:01:07.340589,0,
172.16.3.1,8c:94:1f:51:4b:56,2024-07-17 13:48:52.300433,2024-07-17 14:01:07.340617,0,
172.16.3.2,8c:94:1f:51:4b:56,2024-07-17 13:48:52.300438,2024-07-17 14:01:07.340623,0,
172.16.3.3,8c:94:1f:51:4b:56,2024-07-17 13:48:52.300442,2024-07-17 14:01:07.340628,0,
172.16.3.4,8c:94:1f:51:4b:56,2024-07-17 13:48:52.300446,2024-07-17 14:01:07.340632,0,
172.16.3.217,8c:94:1f:51:4b:56,2024-07-17 13:48:52.300450,2024-07-17 13:50:23.120396,0,
172.16.3.156,8c:94:1f:51:4b:56,2024-07-17 13:48:54.616395,2024-07-17 13:48:54.616396,0,
172.16.3.203,8c:94:1f:51:4b:56,2024-07-17 13:48:56.900488,2024-07-17 14:00:46.416442,0,
172.16.3.133,8c:94:1f:51:4b:56,2024-07-17 13:48:59.236263,2024-07-17 13:48:59.236264,0,
172.16.3.199,8c:94:1f:51:4b:56,2024-07-17 13:49:01.532303,2024-07-17 14:00:18.700258,0,
172.16.3.136,8c:94:1f:51:4b:56,2024-07-17 13:49:03.832220,2024-07-17 13:51:33.808619,0,
172.16.3.123,8c:94:1f:51:4b:56,2024-07-17 13:49:06.236449,2024-07-17 14:00:09.520360,0,
172.16.3.49,8c:94:1f:51:4b:56,2024-07-17 13:49:08.484214,2024-07-17 13:49:08.484215,0,
172.16.3.101,8c:94:1f:51:4b:56,2024-07-17 13:49:10.824035,2024-07-17 14:00:48.724492,0,
172.16.3.126,8c:94:1f:51:4b:56,2024-07-17 13:49:13.076255,2024-07-17 13:51:09.884303,0,
172.16.3.127,8c:94:1f:51:4b:56,2024-07-17 13:49:15.400261,2024-07-17 13:49:15.400281,0,
172.16.3.169,8c:94:1f:51:4b:56,2024-07-17 13:49:17.664498,2024-07-17 13:52:48.084501,0,
