IP,MAC,First Seen,Last Seen,Activity
172.16.3.0,8c:94:1f:51:4b:56,2024-07-17 13:56:19.412090,2024-07-17 13:56:48.832557,
172.16.3.84,8c:94:1f:51:4b:56,2024-07-17 13:56:19.412113,2024-07-17 13:56:32.632235,
172.16.3.251,8c:94:1f:51:4b:56,2024-07-17 13:56:19.412116,2024-07-17 13:56:19.412118,
172.16.3.93,8c:94:1f:51:4b:56,2024-07-17 13:56:21.944272,2024-07-17 13:56:43.616281,
172.16.3.224,8c:94:1f:51:4b:56,2024-07-17 13:56:21.944282,2024-07-17 13:56:21.944286,
172.16.3.1,8c:94:1f:51:4b:56,2024-07-17 13:56:24.556638,2024-07-17 13:56:48.832583,
172.16.3.74,8c:94:1f:51:4b:56,2024-07-17 13:56:24.556644,2024-07-17 13:56:24.556646,
172.16.3.175,8c:94:1f:51:4b:56,2024-07-17 13:56:24.556649,2024-07-17 13:56:24.556651,
172.16.3.2,8c:94:1f:51:4b:56,2024-07-17 13:56:27.344563,2024-07-17 13:56:48.832588,
172.16.3.5,8c:94:1f:51:4b:56,2024-07-17 13:56:27.344568,2024-07-17 13:56:27.344569,
172.16.3.79,8c:94:1f:51:4b:56,2024-07-17 13:56:27.344572,2024-07-17 13:56:27.344573,
172.16.3.172,8c:94:1f:51:4b:56,2024-07-17 13:56:27.344579,2024-07-17 13:56:27.344580,
172.16.3.10,8c:94:1f:51:4b:56,2024-07-17 13:56:27.344583,2024-07-17 13:56:27.344584,
172.16.3.182,8c:94:1f:51:4b:56,2024-07-17 13:56:27.344587,2024-07-17 13:56:27.344588,
172.16.3.4,8c:94:1f:51:4b:56,2024-07-17 13:56:30.056371,2024-07-17 13:56:32.632232,
172.16.3.94,8c:94:1f:51:4b:56,2024-07-17 13:56:30.056408,2024-07-17 13:56:30.056411,
172.16.3.3,8c:94:1f:51:4b:56,2024-07-17 13:56:32.632228,2024-07-17 13:56:46.288802,
172.16.3.205,8c:94:1f:51:4b:56,2024-07-17 13:56:32.632237,2024-07-17 13:56:32.632239,
172.16.3.155,8c:94:1f:51:4b:56,2024-07-17 13:56:32.632241,2024-07-17 13:56:32.632242,
172.16.3.61,8c:94:1f:51:4b:56,2024-07-17 13:56:35.372308,2024-07-17 13:56:35.372331,
172.16.3.59,8c:94:1f:51:4b:56,2024-07-17 13:56:35.372337,2024-07-17 13:56:35.372340,
172.16.3.107,8c:94:1f:51:4b:56,2024-07-17 13:56:38.384242,2024-07-17 13:56:38.384266,
172.16.3.37,8c:94:1f:51:4b:56,2024-07-17 13:56:40.980347,2024-07-17 13:56:40.980350,
172.16.3.157,8c:94:1f:51:4b:56,2024-07-17 13:56:40.980356,2024-07-17 13:56:40.980359,
172.16.3.97,8c:94:1f:51:4b:56,2024-07-17 13:56:43.616245,2024-07-17 13:56:43.616263,
172.16.3.222,8c:94:1f:51:4b:56,2024-07-17 13:56:43.616267,2024-07-17 13:56:43.616269,
172.16.3.33,8c:94:1f:51:4b:56,2024-07-17 13:56:46.288806,2024-07-17 13:56:46.288807,
172.16.3.145,8c:94:1f:51:4b:56,2024-07-17 13:56:46.288812,2024-07-17 13:56:46.288814,
172.16.3.221,8c:94:1f:51:4b:56,2024-07-17 13:56:46.288817,2024-07-17 13:56:46.288819,
172.16.3.96,8c:94:1f:51:4b:56,2024-07-17 13:56:48.832593,2024-07-17 13:56:48.832595,
172.16.3.236,8c:94:1f:51:4b:56,2024-07-17 13:56:48.832600,2024-07-17 13:56:48.832603,
172.16.3.121,8c:94:1f:51:4b:56,2024-07-17 13:56:48.832606,2024-07-17 13:56:48.832609,
