Address                  HWtype  HWaddress           Flags Mask            Iface
172.16.2.114             ether   e4:a8:df:c3:ce:97   C                     enp1s0
172.16.2.116             ether   00:17:c8:c8:1d:32   C                     enp1s0
172.16.3.250             ether   c8:9c:dc:e3:f0:7c   C                     enp1s0
peno1-lpt.rea.local      ether   18:60:24:96:d8:4a   C                     enp1s0
172.16.2.127             ether   00:17:c8:bc:28:52   C                     enp1s0
_gateway                 ether   00:00:0c:07:ac:1e   C                     enp1s0
172.16.2.5               ether   8c:94:1f:51:4b:49   C                     enp1s0
172.16.2.6               ether   00:1b:09:08:f4:fc   C                     enp1s0
172.16.2.7               ether   00:1b:09:08:f5:04   C                     enp1s0
172.16.2.8               ether   00:1b:09:08:f5:02   C                     enp1s0
172.16.3.138             ether   f0:7f:06:54:3a:d7   C                     enp1s0
172.16.3.137             ether   c8:5a:cf:bd:20:34   C                     enp1s0
172.16.2.10              ether   00:1b:09:08:f5:1b   C                     enp1s0
172.16.2.9               ether   00:1b:09:08:f5:01   C                     enp1s0
172.16.3.139             ether   ac:e2:d3:6c:97:2e   C                     enp1s0
172.16.2.12              ether   00:1b:09:08:f4:fd   C                     enp1s0
172.16.3.141             ether   e4:a8:df:c3:ce:79   C                     enp1s0
172.16.2.13              ether   00:1b:09:08:f5:07   C                     enp1s0
172.16.2.14              ether   00:1b:09:08:f4:fb   C                     enp1s0
172.16.2.16              ether   00:1b:09:08:f4:f6   C                     enp1s0
172.16.2.15              ether   00:1b:09:08:f4:f8   C                     enp1s0
172.16.2.17              ether   00:1b:09:08:b4:84   C                     enp1s0
172.16.3.154             ether   44:8a:5b:e0:e1:b4   C                     enp1s0
172.16.3.160             ether   e4:a8:df:c3:56:49   C                     enp1s0
172.16.3.166             ether   90:9a:4a:dd:3f:82   C                     enp1s0
172.16.2.40              ether   00:22:bd:fc:ac:f1   C                     enp1s0
dmitei.rea.local         ether   0c:75:bd:35:91:8f   C                     enp1s0
_gateway                 ether   6c:34:91:0e:c9:9f   C                     wlp2s0
172.16.2.43              ether   00:1f:6c:b5:02:5c   C                     enp1s0
172.16.2.45              ether   00:17:c8:4b:b3:98   C                     enp1s0
172.16.2.50              ether   c8:5a:cf:bd:1f:df   C                     enp1s0
172.16.2.52              ether   e4:a8:df:c3:cd:d3   C                     enp1s0
florence-hp.rea.local    ether   98:e7:f4:04:a3:21   C                     enp1s0
172.16.2.51              ether   00:22:bd:fc:ac:ef   C                     enp1s0
172.16.2.54              ether   a0:1d:48:ac:75:ca   C                     enp1s0
172.16.2.55              ether   00:17:c8:8f:9f:9f   C                     enp1s0
172.16.3.188             ether   b0:5c:da:36:7d:12   C                     enp1s0
172.16.3.190             ether   00:c0:ee:a9:e9:27   C                     enp1s0
172.16.2.192             ether   c8:5a:cf:bd:1f:b7   C                     enp1s0
172.16.2.63              ether   e4:a8:df:c3:cc:db   C                     enp1s0
esamai-lpt.rea.local     ether   c8:5a:cf:bd:20:32   C                     enp1s0
172.16.2.195             ether   e4:a8:df:c3:cd:73   C                     enp1s0
172.16.3.69              ether   a0:48:1c:93:f6:b1   C                     enp1s0
172.16.2.197             ether   c8:5a:cf:bd:1f:da   C                     enp1s0
172.16.3.74              ether   c8:5a:cf:bd:1f:a1   C                     enp1s0
172.16.3.76              ether   74:26:ac:ef:84:ce   C                     enp1s0
172.16.3.81              ether   24:6c:84:f8:d9:f3   C                     enp1s0
172.16.3.86              ether   00:03:ea:18:aa:a0   C                     enp1s0
172.16.3.87              ether   c8:9c:dc:e3:f2:40   C                     enp1s0
172.16.3.95              ether   00:17:c8:df:50:ea   C                     enp1s0
172.16.3.98              ether   00:22:bd:fc:ac:ed   C                     enp1s0
muyonga-lpt.rea.local            (incomplete)                              enp1s0
172.16.3.102             ether   00:17:c8:bd:e8:bc   C                     enp1s0
dmitei.rea.local         ether   c8:5a:cf:bd:20:0e   C                     enp1s0
172.16.3.116             ether   d4:f0:c9:02:81:4b   C                     enp1s0
172.16.3.115             ether   c8:5a:cf:bd:20:21   C                     enp1s0
172.16.3.117             ether   00:c0:ee:ba:da:18   C                     enp1s0
172.16.3.122             ether   c8:5a:cf:bd:20:00   C                     enp1s0
172.16.2.252             ether   00:17:c8:51:bb:07   C                     enp1s0
172.16.2.254             ether   04:76:b0:c4:51:e1   C                     enp1s0
172.16.2.128             ether   00:17:c8:bc:29:ab   C                     enp1s0
172.16.3.0               ether   00:17:c8:51:f1:d6   C                     enp1s0
172.16.2.255             ether   00:17:c8:f1:89:f7   C                     enp1s0
172.16.2.131             ether   50:67:ae:e3:81:4d   C                     enp1s0
172.16.2.133             ether   f4:30:b9:55:39:cd   C                     enp1s0
172.16.3.6               ether   00:17:c8:f0:c3:d2   C                     enp1s0
172.16.2.135             ether   18:60:24:98:0e:b7   C                     enp1s0
172.16.3.10              ether   00:17:c8:8f:a0:0c   C                     enp1s0
dmitei.rea.local         ether   00:17:c8:e4:ce:5b   C                     enp1s0
172.16.3.17              ether   a0:48:1c:97:8d:69   C                     enp1s0
172.16.2.146             ether   00:22:bd:fc:ad:4d   C                     enp1s0
172.16.3.19              ether   e4:a8:df:c3:ca:a0   C                     enp1s0
172.16.2.149             ether   f0:7f:06:f0:7f:fd   C                     enp1s0
172.16.3.21              ether   00:17:c8:07:8e:05   C                     enp1s0
dmitei.rea.local         ether   70:c9:c6:68:5f:d4   C                     enp1s0
172.16.3.26              ether   d4:f0:c9:02:80:c6   C                     enp1s0
172.16.3.27              ether   ac:b9:2f:3d:47:64   C                     enp1s0
172.16.2.155             ether   38:22:e2:2e:3a:00   C                     enp1s0
172.16.3.28              ether   00:17:c8:8f:a0:3a   C                     enp1s0
172.16.3.29              ether   00:17:c8:07:b1:a7   C                     enp1s0
172.16.2.157             ether   00:e0:4c:36:06:2c   C                     enp1s0
172.16.3.32              ether   c8:5a:cf:bd:1f:fc   C                     enp1s0
172.16.3.33              ether   00:17:c8:51:f1:9f   C                     enp1s0
172.16.3.37              ether   00:e0:99:00:1c:8d   C                     enp1s0
kariz-think.rea.local    ether   00:17:c8:51:f1:30   C                     enp1s0
172.16.3.46              ether   00:17:c8:bd:e9:6e   C                     enp1s0
172.16.3.45              ether   d4:f0:c9:02:7f:8d   C                     enp1s0
cmuthoni-lpt.rea.local   ether   e4:a8:df:c3:cb:8a   C                     enp1s0
15.15.21.240             ether   b0:3c:dc:c7:e6:97   C                     wlp2s0
172.16.3.53              ether   18:60:24:90:9c:ee   C                     enp1s0
172.16.3.57              ether   00:22:bd:fc:ac:e9   C                     enp1s0
172.16.2.188             ether   c8:5a:cf:bd:1f:fb   C                     enp1s0
